,ID,Requirement,Subjectivity Detected,Ambiguity Detected,Low Readability,Not a Requirement,Security Related
0,1," The administrator shall make available all necessary premises, staff and funds for the contest. The minimum requirements are laid down in individual sections of these regulations.", 0.52,,,,
1,4,"Four years before the scheduled Olympiad, the General Assembly shall made its final decision as well as to rank the three candidate organizers in order of the number of votes received by each candidate organizer.", 0.80,,,,
2,8,"Immediately afterwards, the draft invitation shall receive the Presidents confirmation, with (if appropriate) a note of any modification which he considers desirable on the basis of his inspection of the venue and the preliminary discussion. If necessary, further inspection may be arranged.", 0.67,"appropriate, may", 16.32,,
3,15,"4.1.1 The federation entrusted with the organization shall, in consultation with the administrator, appoint a chairman for the organizing committee.",,, 0.42,,
4,16,"_x000c_4.1.2 The chairman of the organizing committee shall assign personnel to the committees sub-departments, except in so far as this falls within the competence of FIDE.", 1.00,,,,
5,17,"4.1.7 In addition to this, the administrator shall take responsibility for informing his federation of points which he considers to be important.", 1.00,, 23.77,,
6,21,"4.3.1 The form of amenities provided for members of the organizing committee, and the extent of compensation paid to them in the absence of work shall be at the discretion of a panel consisting of the following committee members: • chairman • manager of the sub-department for finance • representative of the organizing federation.",,, 2.79,,
7,24,4.3.3.2 Any of the principals who are active at the Olympiad for only part of the time shall only receive a pro rata portion of the stipend., 0.87,,,,
8,26,"_x000c_4.3.3.4 The administrator is responsible only for such amenities as are actually utilized by any of the principals during the period of the contest and in the course of activity directly connected with it, the tournament venue or in transit.", 0.51,, 22.42,-1,
9,27,4.3.3.5 The administrator shall be host to the principals for the entire duration of the contest., 0.62,,,,
10,28,"The President is entitled to first class travel by air, sea or rail. For all other principals, provisions shall be made for return travel by air, sea or rail, or, at their own option, by other means of transport which shall not, however, be more costly to the administrator than air travel. All travel arrangements shall be made by the administrator. Principals who wish to make their own arrangements shall do so entirely at their own risk.", 0.65,,,,
11,30,"For the President: a chauffeur-driven car. For the other principals: a pool of cars shall be provided, the use of which shall depend on the location of the hotels, tournament hall and media centre, and on the leisure requirements of the principals. Where appropriate, journeys should be made jointly, by arrangement with the administrator.",,appropriate,,,
12,31,"_x000c_General access, without lengthy waiting periods, to a variety of sport and recreation facilities such as swimming, tennis, bowling and riding; also to libraries, museums, concerts, theatres, etc.",,, 17.68,-1,
13,32,"- The administrator shall meet the cost of treating acute illnesses including the cost of medicines, but not chronic ailments.", 0.90,,,,
14,33,The provision of amenities for persons accompanying the principals shall be settled between the President and the administrator.,,, 19.37,,
15,38,"4.6.6 The players must not, however, be disturbed by spectators. The Chief Arbiter shall decide what constitutes a disturbance. If necessary, those causing it shall be expelled from the hall.", 1.00,,,,
16,40,"4.6.8 Relaying of the games on video equipment or demonstration boards (with or without commentaries) may only take place inside of rooms of the playing hall. The equipment, management and staffing of these rooms are responsibility of the administrator.", 1.00,may,,-1,
17,41,"4.7.1 The administrator shall make every conceivable effort to attract the worlds finest reporters and to enable them to convey the best possible presentation of these matches to those who cannot attend as spectator. The media regulations of FIDE events, described in chapter C.09 of the FIDE handbook and covering the Chess Olympiad, shall be followed. covering the Chess Olympiad, shall be followed.", 0.53,,,,
18,42,"4.7.2 The administrator shall ensure an efficient media service for writers, photographers, national and international news agencies, and the electronic media.",,, 7.86,,
19,43,"4.7.3 The administrator shall appoint an information officer to supervise these activities, and shall set up a media centre (press centre).",,, 24.78,,
20,44,"4.8.2 Every journalist (in the wide sense) shall be issued with a pass. This must incorporate a firmly attached photograph, and must be worn prominently on all media premises.", 0.60,,,,
21,54,"5.5.3 Before the first round of the tournament, the administrator shall ensure that action is taken on the matters arising from discussion. If necessary, a further inspection may be arranged.",,may,,,
22,55,The administrator shall provide conspicuous passes for players and organizers.,,, 2.11,,
23,56,"The administrator and his colleagues shall give every assistance in looking after the players, both immediately after their arrival and during the tournament itself.",,, 21.74,,
24,57,"The administrator shall make effort to provide the players with the best possible quality of accommodation, food, drink, transport and playing conditions.", 0.65,, 23.77,,
25,60,"6.2.1 The chairman of the organizing committee represents the interest of the administrator. He shall appoint the managers of the administrative sub-departments and establish contacts with official bodies, associations and sponsors. He shall be the highest authority in the organizational process, specially in the financial sphere.",,, 22.11,,
26,62,"For the performance of his tasks, the organizing committee shall assign to the Tournament Director two Deputy Tournament Directors, as well as any other management personnel and assistants who may be considered necessary.", 0.69,may, 21.06,,
27,63,"The plan for the organizational framework in its final form, as determined by the organizing committee, shall be distributed before the start of the tournament to all FIDE principals, chiefs of delegations and team captains.", 1.00,, 27.49,,
